Timestamp,Unnamed: 0,LogLevel,Service,Message,RequestID,User,ClientIP,TimeTaken,anomaly,z_score
2023-11-20 08:40:50.729253,7,WARNING,ServiceB,Performance Warnings,2061,User15,192.168.1.58,11.0,1,-1.6785153118933953
2023-11-20 08:40:51.057095,30,DEBUG,ServiceC,Trace Information,7677,User17,192.168.1.54,11.0,1,-1.6785153118933953
2023-11-20 08:40:51.289243,46,FATAL,ServiceC,Crashes,1569,User3,192.168.1.246,11.0,1,-1.6785153118933953
2023-11-20 08:40:51.660780,71,ERROR,ServiceC,Database Errors,5445,User31,192.168.1.60,100.0,1,1.7125501788627528
2023-11-20 08:40:51.796185,81,DEBUG,ServiceD,File I/O,9059,User24,192.168.1.242,100.0,1,1.7125501788627528
2023-11-20 08:40:52.011657,98,WARNING,ServiceD,Performance Warnings,4546,User68,192.168.1.223,99.0,1,1.6744483194160547
2023-11-20 08:40:52.270450,117,INFO,ServiceC,Startup Messages,4726,User17,192.168.1.151,10.0,1,-1.7166171713400935
2023-11-20 08:40:52.295958,120,ERROR,ServiceB,Database Errors,2127,User52,192.168.1.54,11.0,1,-1.6785153118933953
2023-11-20 08:40:52.343851,123,INFO,ServiceA,Status Updates,9477,User83,192.168.1.93,99.0,1,1.6744483194160547
2023-11-20 08:40:52.811759,157,ERROR,ServiceB,Database Errors,5816,User68,192.168.1.213,100.0,1,1.7125501788627528
2023-11-20 08:40:53.045636,175,INFO,ServiceB,Status Updates,4265,User4,192.168.1.15,99.0,1,1.6744483194160547
2023-11-20 08:40:53.212705,188,INFO,ServiceA,Startup Messages,4432,User24,192.168.1.52,99.0,1,1.6744483194160547
2023-11-20 08:40:53.890597,238,INFO,ServiceA,Startup Messages,6771,User99,192.168.1.9,99.0,1,1.6744483194160547
2023-11-20 08:40:54.409703,275,ERROR,ServiceD,Critical Errors,7114,User36,192.168.1.234,11.0,1,-1.6785153118933953
2023-11-20 08:40:54.626872,291,ERROR,ServiceA,Critical Errors,6139,User44,192.168.1.18,10.0,1,-1.7166171713400935
2023-11-20 08:40:54.759626,301,WARNING,ServiceD,Performance Warnings,7829,User11,192.168.1.43,10.0,1,-1.7166171713400935
2023-11-20 08:40:54.875781,309,WARNING,ServiceA,Resource Warnings,4645,User13,192.168.1.145,99.0,1,1.6744483194160547
2023-11-20 08:40:55.209259,335,FATAL,ServiceB,Crashes,3284,User30,192.168.1.66,100.0,1,1.7125501788627528
2023-11-20 08:40:55.985208,392,WARNING,ServiceC,Input Validation Warnings,4584,User86,192.168.1.61,11.0,1,-1.6785153118933953
